#,New,Old,Radical,Strokes,Grade,Year added,English meaning,Readings
1994,妖,,女,7,S,2010,bewitching,"ヨウ、あや-しいyō, aya-shii"
1995,洋,,水,9,3,,ocean,ヨウyō
1996,要,,襾,9,4,,need,"ヨウ、かなめ、い-るyō, kaname, i-ru"
1997,容,,宀,10,5,,contain,ヨウyō
1998,庸,,广,11,S,,commonplace,ヨウyō
1999,揚,,手,12,S,,hoist,"ヨウ、あ-げる、あ-がるyō, a-geru, a-garu"
2000,揺,搖,手,12,S,,swing,"ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶるyō, yu-reru, yu-ru, yu-ragu, yu-rugu, yu-suru, yu-saburu, yu-suburu"
2001,葉,,艸,12,3,,leaf,"ヨウ、はyō, ha"
2002,陽,,阜,12,3,,sunshine,ヨウyō
2003,溶,,水,13,S,,melt,"ヨウ、と-ける、と-かす、と-くyō, to-keru, to-kasu, to-ku"
2004,腰,,肉,13,S,,loins,"ヨウ、こしyō, koshi"
2005,様,樣,木,14,3,,formal title,"ヨウ、さまyō, sama"
2006,瘍,,疒,14,S,2010,boil (medical),ヨウyō
2007,踊,,足,14,S,,jump,"ヨウ、おど-る、おど-りyō, odo-ru, odo-ri"
2008,窯,,穴,15,S,,kiln,"ヨウ、かまyō, kama"
2009,養,,食,15,4,,foster,"ヨウ、やしな-うyō, yashina-u"
2010,擁,,手,16,S,,embrace,ヨウyō
2011,謡,謠,言,16,S,,noh chanting,"ヨウ、うたい、うた-うyō, utai, uta-u"
2012,曜,,日,18,2,,day of the week,ヨウyō
2013,抑,,手,7,S,,repress,"ヨク、おさ-えるyoku, osa-eru"
2014,沃,,水,7,S,2010,fertility,ヨクyoku
2015,浴,,水,10,4,,bathe,"ヨク、あ-びる、あ-びせるyoku, a-biru, a-biseru"
2016,欲,,欠,11,6,,longing,"ヨク、ほっ-する、ほ-しいyoku, ho'-suru, ho-shii"
2017,翌,,羽,11,6,,the following,ヨクyoku
2018,翼,,羽,17,S,,wing,"ヨク、つばさyoku, tsubasa"
2019,拉,,手,8,S,2010,crush,ラra
2020,裸,,衣,13,S,,naked,"ラ、はだかra, hadaka"
2021,羅,,网,19,S,1981,gauze,ラra
2022,来,來,人,7,2,,come,"ライ、く-る、きた-る、きた-すrai, ku-ru, kita-ru, kita-su"
2023,雷,,雨,13,S,,thunder,"ライ、かみなりrai, kaminari"
2024,頼,賴,貝,16,S,,trust,"ライ、たの-む、たの-もしい、たよ-るrai, tano-mu, tano-moshii, tayo-ru"
2025,絡,,糸,12,S,,entwine,"ラク、から-む、から-まる、から-めるraku, kara-mu, kara-maru, kara-meru"
2026,落,,艸,12,3,,fall,"ラク、お-ちる、お-とすraku, o-chiru, o-tosu"
2027,酪,,酉,13,S,,dairy products,ラクraku
2028,辣,,辛,14,S,2010,bitter,ラツratsu
2029,乱,亂,乙,7,6,,riot,"ラン、みだ-れる、みだ-すran, mida-reru, mida-su"
2030,卵,,卩,7,6,,egg,"ラン、たまごran, tamago"
2031,覧,覽,見,17,6,,perusal,ランran
2032,濫,,水,18,S,,excessive,ランran
2033,藍,,艸,18,S,2010,indigo,"ラン、あいran, ai"
2034,欄,欄 [4],木,20,S,,column,ランran
2035,吏,,口,6,S,,officer,リri
2036,利,,刀,7,4,,profit,"リ、き-くri, ki-ku"
2037,里,,里,7,2,,village,"リ、さとri, sato"
2038,理,,玉,11,2,,reason,リri
2039,痢,,疒,12,S,,diarrhea,リri
2040,裏,,衣,13,6,,back,"リ、うらri, ura"
2041,履,,尸,15,S,,footgear,"リ、は-くri, ha-ku"
2042,璃,,玉,15,S,2010,glassy,リri
2043,離,,隹,19,S,,detach,"リ、はな-れる、はな-すri, hana-reru, hana-su"
2044,陸,,阜,11,4,,land,リクriku
2045,立,,立,5,1,,stand up,"リツ、（リュウ）、た-つ、た-てるritsu, (ryū), ta-tsu, ta-teru"
2046,律,,彳,9,6,,law,"リツ、（リチ）ritsu, (richi)"
2047,慄,,心,13,S,2010,fear,リツritsu
2048,略,,田,11,5,,abbreviation,リャクryaku
2049,柳,,木,9,S,,willow,"リュウ、やなぎryū, yanagi"
2050,流,,水,10,3,,stream,"リュウ、（ル）、なが-れる、なが-すryū, (ru), naga-reru, naga-su"
2051,留,,田,10,5,,detain,"リュウ、（ル）、と-める、と-まるryū, (ru), to-meru, to-maru"
2052,竜,龍,龍,10,S,1981,dragon,"リュウ、たつryū, tatsu"
2053,粒,,米,11,S,,grains,"リュウ、つぶryū, tsubu"
2054,隆,隆 [4],阜,11,S,,hump,リュウryū
2055,硫,,石,12,S,,sulphur,リュウryū
2056,侶,,人,9,S,2010,companion,リョryo
2057,旅,,方,10,3,,trip,"リョ、たびryo, tabi"
2058,虜,虜 [4],虍,13,S,,captive,リョryo
2059,慮,,心,15,S,,prudence,リョryo
2060,了,,亅,2,S,,finish,リョウryō
2061,両,兩,入,6,3,,both,リョウryō
2062,良,,艮,7,4,,good,"リョウ、よ-いryō, yo-i"
2063,料,,斗,10,4,,fee,リョウryō
2064,涼,,水,11,S,,refreshing,"リョウ、すず-しい、すず-むryō, suzu-shii, suzu-mu"
2065,猟,獵,犬,11,S,,game-hunting,リョウryō
2066,陵,,阜,11,S,,mausoleum,"リョウ、みささぎryō, misasagi"
2067,量,,里,12,4,,quantity,"リョウ、はか-るryō, haka-ru"
2068,僚,,人,14,S,,colleague,リョウryō
2069,領,,頁,14,5,,territory,リョウryō
2070,寮,,宀,15,S,,dormitory,リョウryō
2071,療,,疒,17,S,,heal,リョウryō
2072,瞭,,目,17,S,2010,clear,リョウryō
2073,糧,,米,18,S,,provisions,"リョウ、（ロウ）、かてryō, (rō), kate"
2074,力,,力,2,1,,power,"リョク、リキ、ちからryoku, riki, chikara"
2075,緑,綠,糸,14,3,,green,"リョク、（ロク）、みどりryoku, (roku), midori"
2076,林,,木,8,1,,woods,"リン、はやしrin, hayashi"
2077,厘,,厂,9,S,,thousandth,リンrin
2078,倫,,人,10,S,,ethics,リンrin
2079,輪,,車,15,4,,wheel,"リン、わrin, wa"
2080,隣,,阜,16,S,,neighboring,"リン、とな-る、となりrin, tona-ru, tonari"
2081,臨,,臣,18,6,,look to,"リン、のぞ-むrin, nozo-mu"
2082,瑠,,玉,14,S,2010,lapis lazuli,ルru
2083,涙,淚,水,10,S,,tears,"ルイ、なみだrui, namida"
2084,累,,糸,11,S,,accumulate,ルイrui
2085,塁,壘,土,12,S,,bases,ルイrui
2086,類,類 [4],頁,18,4,,sort,"ルイ、たぐ-いrui, tagu-i"
2087,令,,人,5,4,,orders,レイrei
2088,礼,禮,示,5,3,,thanks,"レイ、ライrei, rai"
2089,冷,,冫,7,4,,cool,"レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ますrei, tsume-tai, hi-eru, hi-ya, hi-yasu, hi-yakasu, sa-meru, sa-masu"
2090,励,勵,力,7,S,,encourage,"レイ、はげ-む、はげ-ますrei, hage-mu, hage-masu"
2091,戻,戾,戶,7,S,1981,re-,"レイ、もど-す、もど-るrei, modo-su, modo-ru"
2092,例,,人,8,4,,example,"レイ、たと-えるrei, tato-eru"
2093,鈴,,金,13,S,,small bell,"レイ、リン、すずrei, rin, suzu"
2094,零,,雨,13,S,,zero,レイrei
2095,霊,靈,雨,15,S,,spirits,"レイ、リョウ、たまrei, ryō, tama"
2096,隷,,隶,16,S,,slave,レイrei
2097,齢,齡,齒,17,S,,age,レイrei
2098,麗,,鹿,19,S,,lovely,"レイ、うるわ-しいrei, uruwa-shii"
2099,暦,曆,日,14,S,,calendar,"レキ、こよみreki, koyomi"
2100,歴,歷,止,14,4,,curriculum,レキreki
2101,列,,刀,6,3,,row,レツretsu
2102,劣,,力,6,S,,inferiority,"レツ、おと-るretsu, oto-ru"
2103,烈,,火,10,S,,ardent,レツretsu
2104,裂,,衣,12,S,,split,"レツ、さ-く、さ-けるretsu, sa-ku, sa-keru"
2105,恋,戀,心,10,S,,romance,"レン、こ-う、こい、こい-しいren, ko-u, koi, koi-shii"
2106,連,,辵,10,4,,take along,"レン、つら-なる、つら-ねる、つ-れるren, tsura-naru, tsura-neru, tsu-reru"
2107,廉,,广,13,S,,bargain,レンren
2108,練,練 [4],糸,14,3,,practice,"レン、ね-るren, ne-ru"
2109,錬,鍊,金,16,S,,tempering,レンren
2110,呂,,口,7,S,2010,spine,ロro
2111,炉,爐,火,8,S,,hearth,ロro
2112,賂,,貝,13,S,2010,bribe,ロro
2113,路,,足,13,3,,road,"ロ、じro, ji"
2114,露,,雨,21,S,,dew,"ロ、（ロウ）、つゆro, (rō), tsuyu"
2115,老,,老,6,4,,old man,"ロウ、お-いる、ふ-けるrō, o-iru, fu-keru"
2116,労,勞,力,7,4,,labour,ロウrō
2117,弄,,廾,7,S,2010,tamper with,"ロウ、もてあそ-ぶrō, moteaso-bu"
2118,郎,郞,邑,9,S,,son,ロウrō
2119,朗,朗 [4],月,10,6,,melodious,"ロウ、ほが-らかrō, hoga-raka"
2120,浪,,水,10,S,,wandering,ロウrō
2121,廊,廊 [4],广,12,S,,corridor,ロウrō
2122,楼,樓,木,13,S,,watchtower,ロウrō
2123,漏,,水,14,S,,leak,"ロウ、も-る、も-れる、も-らすrō, mo-ru, mo-reru, mo-rasu"
2124,籠,,竹,22,S,2010,basket,"ロウ、かご、こ-もるrō, kago, ko-moru"
2125,六,,八,4,1,,six,"ロク、む、む-つ、むっ-つ、（むい）roku, mu, mu-tsu, mu'-tsu, (mui)"
2126,録,錄,金,16,4,,record,ロクroku
2127,麓,,鹿,19,S,2010,foot of a mountain,"ロク、ふもとroku, fumoto"
2128,論,,言,15,6,,theory,ロンron
2129,和,,口,8,3,,peace,"ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やかwa, (o), yawa-ragu, yawa-rageru, nago-mu, nago-yaka"
2130,話,,言,13,2,,talk,"ワ、はな-す、はなしwa, hana-su, hanashi"
2131,賄,,貝,13,S,,bribe,"ワイ、まかな-うwai, makana-u"
2132,脇,,肉,10,S,2010,aside,わきwaki
2133,惑,,心,12,S,,beguile,"ワク、まど-うwaku, mado-u"
2134,枠,,木,8,S,1981,frame,わくwaku
2135,湾,灣,水,12,S,,gulf,ワンwan
2136,腕,,肉,12,S,,arm,"ワン、うでwan, ude"
